"original address",latitude,longitude
"4990 Freeport Blvd Sacramento,CA",38.528973,-121.496267
"1900 Alhambra Blvd Sacramento,CA",38.562679,-121.470001
"4315 Arden Way Sacramento,CA",38.596472,-121.364055
"1040 Florin Rd Sacramento,CA",38.494618,-121.521446
"4551 Mack Rd Sacramento,CA",38.475479,-121.449452
"8122 Gerber Rd Sacramento,CA",38.480359,-121.407647
"4408 Del Rio Rd Sacramento,CA",38.53639,-121.504812
"4401 Broadway Sacramento,CA",38.547328,-121.455894
"5600 Folsom Blvd Sacramento,CA",38.557663,-121.438607
"3994 2nd Ave Sacramento,CA",38.550418,-121.460433
"3404 Martin Luther King Jr Blvd Sacramento,CA",38.54376,-121.465053
"2835 Norwood Ave Sacramento,CA",38.619448,-121.457757
"4143 23rd Ave Sacramento,CA",38.532426,-121.458114
"4310 73rd St Sacramento,CA",38.535781,-121.419584
"3547 Bradshaw Rd Sacramento,CA",38.558329,-121.334115
"1547 Fulton Ave Ste B Sacramento,CA",38.594023,-121.402042
"515 Pavilions Ln Sacramento,CA",38.574954,-121.41137
"3250 Arena Blvd Sacramento,CA",38.642102,-121.533432
"5764 Antelope Rd Ste B2 Sacramento,CA",38.704773,-121.326718
"2625 Marconi Ave Sacramento,CA",38.618536,-121.400223
"2386 Fruitridge Rd Sacramento,CA",38.524717,-121.483746
"6260 Folsom Blvd Sacramento,CA",38.554878,-121.430029
"3033 Hurley Way Ste 106 Sacramento,CA",38.589156,-121.392686
"4562 Mack Rd Sacramento,CA",38.472432,-121.44872
"1700 Capitol Ave Sacramento,CA",38.574034,-121.48521
"400 El Camino Ave Sacramento,CA",38.610462,-121.45788
"4443 Auburn Blvd Sacramento,CA",38.648169,-121.360953
"4420 Florin Rd Sacramento,CA",38.494327,-121.454666
"1131 9th St Sacramento,CA",38.578573,-121.495512
"1128 7th St Sacramento,CA",38.579416,-121.498611
"4990 Freeport Blvd Sacramento,CA",38.528973,-121.496267
"1900 Alhambra Blvd Sacramento,CA",38.562679,-121.470001
"4315 Arden Way Sacramento,CA",38.596472,-121.364055
"1040 Florin Rd Sacramento,CA",38.494618,-121.521446
"4551 Mack Rd Sacramento,CA",38.475479,-121.449452
"8122 Gerber Rd Sacramento,CA",38.480359,-121.407647
"4408 Del Rio Rd Sacramento,CA",38.53639,-121.504812
"4401 Broadway Sacramento,CA",38.547328,-121.455894
"5600 Folsom Blvd Sacramento,CA",38.557663,-121.438607
"1900 Point West Way Sacramento,CA",38.599528,-121.431771
"5044 Franklin Blvd Sacramento,CA",38.529404,-121.472912
"3540 Norwood Ave Sacramento,CA",38.631466,-121.45638
"5984 14th Ave Sacramento,CA",38.539523,-121.435362
"5960 24th St Sacramento,CA",38.51593,-121.483642
"910 Grand Ave Sacramento,CA",38.63653,-121.445721
"5278 Fruitridge Rd Sacramento,CA",38.524949,-121.444425
"4211 Norwood Ave Sacramento,CA",38.644823,-121.458688
"5597 Stockton Blvd Sacramento,CA",38.525427,-121.442332
"2199 El Camino Ave Sacramento,CA",38.611118,-121.415711
"1340 Fulton Ave Sacramento,CA",38.590214,-121.400596
"604 12th St Sacramento,CA",38.583752,-121.489221
"402 12th St Sacramento,CA",38.586061,-121.488315
"1112 C St Sacramento,CA",38.587133,-121.488366
"1330 O St Sacramento,CA",38.57302,-121.490652
"1700 Capitol Ave Sacramento,CA",38.574034,-121.48521
"809 20th St Sacramento,CA",38.578538,-121.478651
"601 T St Sacramento,CA",38.570871,-121.503246
"3440 Folsom Blvd Sacramento,CA",38.56628,-121.463231
"2210 Northgate Blvd Sacramento,CA",38.607276,-121.47504
"2550 W El Camino Ave Sacramento,CA",38.613094,-121.518378
"4043 3rd Ave Sacramento,CA",38.54933,-121.459399
"2426 Del Paso Blvd Sacramento,CA",38.611821,-121.447198
"2511 Rio Linda Blvd Sacramento,CA",38.613483,-121.448212
"3501 Northgate Blvd Sacramento,CA",38.629991,-121.476218
"5600 Folsom Blvd Sacramento,CA",38.557663,-121.438607
"2600 Rio Linda Blvd Sacramento,CA",38.614946,-121.445707
"3625 Northgate Blvd Sacramento,CA",38.631129,-121.477268
"4330 14th Ave Sacramento,CA",38.539272,-121.45564
"2685 Rio Linda Blvd Sacramento,CA",38.616311,-121.446546
"1900 Point West Way Sacramento,CA",38.599528,-121.431771
"5044 Franklin Blvd Sacramento,CA",38.529404,-121.472912
"3540 Norwood Ave Sacramento,CA",38.631466,-121.45638
"5984 14th Ave Sacramento,CA",38.539523,-121.435362
"5960 24th St Sacramento,CA",38.51593,-121.483642
"910 Grand Ave Sacramento,CA",38.63653,-121.445721
"5278 Fruitridge Rd Sacramento,CA",38.524949,-121.444425
"4211 Norwood Ave Sacramento,CA",38.644823,-121.458688
"5597 Stockton Blvd Sacramento,CA",38.525427,-121.442332
"2199 El Camino Ave Sacramento,CA",38.611118,-121.415711
"3994 2nd Ave Sacramento,CA",38.550418,-121.460433
"3404 Martin Luther King Jr Blvd Sacramento,CA",38.54376,-121.465053
"2835 Norwood Ave Sacramento,CA",38.619448,-121.457757
"4143 23rd Ave Sacramento,CA",38.532426,-121.458114
"4310 73rd St Sacramento,CA",38.535781,-121.419584
"3547 Bradshaw Rd Sacramento,CA",38.558329,-121.334115
"1547 Fulton Ave Ste B Sacramento,CA",38.594023,-121.402042
"515 Pavilions Ln Sacramento,CA",38.574954,-121.41137
"3250 Arena Blvd Sacramento,CA",38.642102,-121.533432
"5764 Antelope Rd Ste B2 Sacramento,CA",38.704773,-121.326718
"2625 Marconi Ave Sacramento,CA",38.618536,-121.400223
"2386 Fruitridge Rd Sacramento,CA",38.524717,-121.483746
"6260 Folsom Blvd Sacramento,CA",38.554878,-121.430029
"3033 Hurley Way Ste 106 Sacramento,CA",38.589156,-121.392686
"4562 Mack Rd Sacramento,CA",38.472432,-121.44872
"1700 Capitol Ave Sacramento,CA",38.574034,-121.48521
"400 El Camino Ave Sacramento,CA",38.610462,-121.45788
"4443 Auburn Blvd Sacramento,CA",38.648169,-121.360953
"4420 Florin Rd Sacramento,CA",38.494327,-121.454666
"1131 9th St Sacramento,CA",38.578573,-121.495512
"1128 7th St Sacramento,CA",38.579416,-121.498611
"604 12th St Sacramento,CA",38.583752,-121.489221
"402 12th St Sacramento,CA",38.586061,-121.488315
"1112 C St Sacramento,CA",38.587133,-121.488366
"1330 O St Sacramento,CA",38.57302,-121.490652
"1700 Capitol Ave Sacramento,CA",38.574034,-121.48521
"809 20th St Sacramento,CA",38.578538,-121.478651
"601 T St Sacramento,CA",38.570871,-121.503246
"3440 Folsom Blvd Sacramento,CA",38.56628,-121.463231
"2210 Northgate Blvd Sacramento,CA",38.607276,-121.47504
"2550 W El Camino Ave Sacramento,CA",38.613094,-121.518378
"4043 3rd Ave Sacramento,CA",38.54933,-121.459399
"2426 Del Paso Blvd Sacramento,CA",38.611821,-121.447198
"2511 Rio Linda Blvd Sacramento,CA",38.613483,-121.448212
"3501 Northgate Blvd Sacramento,CA",38.629991,-121.476218
"5600 Folsom Blvd Sacramento,CA",38.557663,-121.438607
"2600 Rio Linda Blvd Sacramento,CA",38.614946,-121.445707
"3625 Northgate Blvd Sacramento,CA",38.631129,-121.477268
"4330 14th Ave Sacramento,CA",38.539272,-121.45564
"2685 Rio Linda Blvd Sacramento,CA",38.616311,-121.446546
"1340 Fulton Ave Sacramento,CA",38.590214,-121.400596
"5044 Franklin Blvd Sacramento,CA",38.529404,-121.472912
"3540 Norwood Ave Sacramento,CA",38.631466,-121.45638
"5984 14th Ave Sacramento,CA",38.539523,-121.435362
"5960 24th St Sacramento,CA",38.51593,-121.483642
"910 Grand Ave Sacramento,CA",38.63653,-121.445721
"5278 Fruitridge Rd Sacramento,CA",38.524949,-121.444425
"4211 Norwood Ave Sacramento,CA",38.644823,-121.458688
"5597 Stockton Blvd Sacramento,CA",38.525427,-121.442332
